Student_Number,Matric_Aggregate_Group,FTENab,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
11620452,1401_3000,T,DEGR,29_34     ,African,M,SISWATI,Unemployed,NKOMAZI,North Eastern,1.0
11368305,1201_1300,T,DEGR,29_34     ,African,M,ISINDEBELE,Employed,RANDBURG,Gauteng,1.0
10729981,1101_1150,T,DEGR,26_28     ,African,M,XITSONGA,Unemployed,GIYANI,North Eastern,1.0
11621375,0901_0950,F,DIPL,26_28     ,African,F,SESOTHO,Unemployed,JOHANNESBURG,Gauteng,1.0
11624269,0001_0600,T,KWAL,29_34     ,African,F,ENGLISH,Employed,STELLENBOSCH,Western Cape,1.0
12209478,1301_1400,F,DEGR,20_21     ,White,M,AFRIKAANS,Employed,PRETORIA,Gauteng,1.0
12210654,1151_1200,F,DEGR,22_23     ,African,M,XITSONGA,Unemployed,MOKERONG,North Eastern,1.0
12211073,0000_0000,F,DEGR,18_19     ,White,M,AFR/ENG,Employed,ALBERTON,Gauteng,1.0
10735051,0000_0000,T,DIPL,22_23     ,African,M,NORTHERN SOTHO,Unemployed,BOKSBURG,Gauteng,1.0
10736667,1151_1200,T,DEGR,24_25     ,African,F,TSHIVENDA,Employed,THOHOYANDOU,North Eastern,1.0
10413690,0000_0000,T,VOOR,18_19     ,White,M,ENGLISH,Unemployed,GOODWOOD,Western Cape,1.0
10413787,0000_0000,T,DIPL,26_28     ,African,F,ISIXHOSA,Unemployed,PINETOWN,KwaZulu-Natal,1.0
10414414,0000_0000,T,DEGR,26_28     ,African,M,XITSONGA,Employed,RANDBURG,Gauteng,1.0
11626509,0901_0950,F,DEGR,20_21     ,African,M,OTHER FOREIGN LANGUAGES,Employed,JOHANNESBURG,Gauteng,1.0
11627422,1201_1300,T,DEGR,20_21     ,African,M,ISIZULU,Unemployed,ROODEPOORT,Gauteng,1.0
11628124,1101_1150,T,DEGR,22_23     ,African,F,SESOTHO,Unemployed,ALFRED,KwaZulu-Natal,1.0
