Matric_Aggregate_Group;FTEN;Matric_Status_Code;Age_Group;Race;Gender;Home_Language;Employment;Magisterial_District;Region;Class
0000_0000;F;DEGR;22_23     ;African;M;NORTHERN SOTHO;Employed;BOKSBURG;Gauteng;1
0000_0000;T;DEGR;29_34     ;African;M;SISWATI;Employed;WONDERBOOM;Gauteng;1
0901_0950;F;DIPL;20_21     ;African;M;NORTHERN SOTHO;Unemployed;ALBERTON;Gauteng;1
1301_1400;T;DEGR;24_25     ;African;M;ISIXHOSA;Unemployed;WESTONARIA;Gauteng;1
0000_0000;F;DEGR;22_23     ;African;M;ISIXHOSA;Unemployed;BLOEMFONTEIN;Midlands;1
0000_0000;T;DEGR;24_25     ;African;M;SISWATI;Employed;NSIKAZI;North Eastern;1
0000_0000;F;DIPL;22_23     ;African;F;NORTHERN SOTHO;Unemployed;PRETORIA;Gauteng;1
0000_0000;F;HCER;26_28     ;Coloured;F;NORTHERN SOTHO;Unemployed;BELA-BELA;North Eastern;1
0951_1000;F;DIPL;26_28     ;African;F;SETSWANA;Unemployed;TEMBA;Midlands;1
0000_0000;T;DEGR;26_28     ;African;F;SESOTHO;Employed;VANDERBIJLPARK;Gauteng;1
0851_0900;T;DEGR;29_34     ;African;F;ISIZULU;Employed;LOWER UMFOLOZI;KwaZulu-Natal;1
0000_0000;F;DEGR;20_21     ;African;M;ENGLISH;Unemployed;ERMELO;North Eastern;1
0000_0000;T;DEGR;22_23     ;African;M;ISIXHOSA;Unemployed;MITCHELLS PLAIN;Western Cape;1
1301_1400;T;DEGR;26_28     ;African;M;ISIZULU;Unemployed;UMLAZI;KwaZulu-Natal;1
1001_1050;F;DEGR;24_25     ;African;M;NORTHERN SOTHO;Employed;SEKGOSESE;North Eastern;1
0000_0000;F;DIPL;26_28     ;African;F;ISIZULU;Unemployed;DURBAN;KwaZulu-Natal;1
0000_0000;T;DEGR;26_28     ;African;M;NORTHERN SOTHO;Employed;KUILS RIVER;Western Cape;1
1201_1300;T;DEGR;24_25     ;African;M;ISINDEBELE;Employed;BRONKHORSTSPRUIT;Gauteng;1
1101_1150;F;DEGR;26_28     ;African;F;ISIZULU;Unemployed;ESTCOURT;KwaZulu-Natal;1
0901_0950;F;DIPL;20_21     ;African;F;ISIXHOSA;Employed;UMLAZI;KwaZulu-Natal;1
0000_0000;F;HCER;24_25     ;African;M;XITSONGA;Unemployed;JOHANNESBURG;Gauteng;1
0901_0950;F;DIPL;20_21     ;African;M;ENGLISH;Employed;PIETERSBURG;North Eastern;1
1401_3000;T;MATR;29_34     ;White;M;AFRIKAANS;Employed;ROODEPOORT;Gauteng;1
0000_0000;T;DEGR;24_25     ;White;M;ENGLISH;Unemployed;ROODEPOORT;Gauteng;1
1401_3000;T;DEGR;22_23     ;White;M;ENGLISH;Employed;STELLENBOSCH;Western Cape;1
0951_1000;F;DIPL;22_23     ;African;M;ISIZULU;Employed;GARANKUWA;Midlands;1
1151_1200;T;DEGR;24_25     ;African;F;ISIZULU;Employed;MTUNZINI;KwaZulu-Natal;1
1201_1300;T;DEGR;20_21     ;African;M;ISIZULU;Unemployed;PRETORIA;Gauteng;1
0000_0000;F;DIPL;24_25     ;African;F;SETSWANA;Unemployed;RANDBURG;Gauteng;1
0000_0000;T;KWAL;24_25     ;African;F;ENGLISH;Student;JOHANNESBURG;Gauteng;1
0000_0000;T;DEGR;24_25     ;Coloured;M;AFR/ENG;Employed;STRAND;Western Cape;1
1101_1150;F;DEGR;24_25     ;African;M;ISIZULU;Employed;RANDBURG;Gauteng;1
1051_1100;T;DEGR;26_28     ;African;M;ISIZULU;Employed;BELFAST;North Eastern;1
1151_1200;T;DEGR;24_25     ;African;F;TSHIVENDA;Unemployed;PRETORIA;Gauteng;1
0001_0600;T;DIPL;26_28     ;Coloured;M;ENGLISH;Employed;PORT ELIZABETH;Eastern Cape;1
0000_0000;F;DIPL;29_34     ;African;M;TSHIVENDA;Unemployed;THOHOYANDOU;North Eastern;1
1301_1400;T;MATR;35_40     ;African;M;NORTHERN SOTHO;Employed;HIGHVELD RIDGE;North Eastern;1
0801_0850;F;SENR;35_40     ;African;F;NORTHERN SOTHO;Employed;BOLOBEDU;North Eastern;1
1001_1050;T;DIPL;22_23     ;African;M;SESOTHO;Student;BLOEMFONTEIN;Midlands;1
0000_0000;T;KWAL;26_28     ;African;M;ENGLISH;Employed;BELLVILLE;Western Cape;1
1201_1300;T;DEGR;24_25     ;African;M;NORTHERN SOTHO;Unemployed;PRETORIA;Gauteng;1
1401_3000;T;DEGR;20_21     ;Coloured;F;ENGLISH;Unemployed;DURBAN;KwaZulu-Natal;1
0851_0900;F;DIPL;20_21     ;African;F;ENGLISH;Unemployed;QUEENSTOWN;Eastern Cape;1
0000_0000;T;DIPL;18_19     ;African;F;ENGLISH;Employed;GARANKUWA;Midlands;1
0901_0950;T;MATR;35_40     ;African;M;NORTHERN SOTHO;Employed;PRETORIA;Gauteng;1
0000_0000;T;DIPL;24_25     ;African;F;ISIZULU;Unemployed;VANDERBIJLPARK;Gauteng;1
