Student_Number;FTEN;Matric_Status_Code;Age_Group;Race;Gender;Home_Language;Employment;Magisterial_District;Region;Class
11665960;T;DEGR;20_21     ;African;M;TSHIVENDA;Employed;PRETORIA;Gauteng;1
10452847;T;DEGR;26_28     ;African;F;ISIZULU;Employed;JOHANNESBURG;Gauteng;1
10453576;T;KWAL;29_34     ;African;M;ENGLISH;Employed;BELLVILLE;Western Cape;1
12232364;F;DIPL;24_25     ;African;M;ISIZULU;Unemployed;INGWAVUMA;KwaZulu-Natal;1
10461520;T;DEGR;26_28     ;African;F;ISIZULU;Employed;ESHOWE;KwaZulu-Natal;1
11443911;F;DEGR;22_23     ;African;M;SESOTHO;Unemployed;MAPULANENG;North Eastern;1
11444384;T;DEGR;24_25     ;White;F;ENGLISH;Unemployed;LADY GREY;Eastern Cape;1
11446600;F;DIPL;22_23     ;African;M;SETSWANA;Employed;KLERKSDORP;Midlands;1
11446794;T;DEGR;26_28     ;African;F;TSHIVENDA;Employed;THOHOYANDOU;North Eastern;1
10462923;T;DEGR;26_28     ;African;M;NORTHERN SOTHO;Employed;SOSHANGUWE;Gauteng;1
10467887;T;DEGR;22_23     ;African;M;SHONA;Employed;BELLVILLE;Western Cape;1
11669033;F;DEGR;20_21     ;African;M;SETSWANA;Unemployed;GARANKUWA;Midlands;1
10780356;F;DEGR;20_21     ;African;F;SESOTHO;Unemployed;PRETORIA;Gauteng;1
10122521;T;SENR;29_34     ;African;M;ISIXHOSA;Employed;BLOEMFONTEIN;Midlands;1
11456315;F;DIPL;22_23     ;African;M;TSHIVENDA;Employed;DZANANI;North Eastern;1
12240661;T;DEGR;20_21     ;African;F;NORTHERN SOTHO;Employed;NAMAKGALE;North Eastern;1
11675688;T;MATR;41_50     ;African;M;ISIZULU;Unemployed;PINETOWN;KwaZulu-Natal;1
11676927;T;MATR;35_40     ;Coloured;M;AFRIKAANS;Employed;WYNBERG;Western Cape;1
10785579;F;DEGR;20_21     ;African;M;ENGLISH;Unemployed;JOHANNESBURG;Gauteng;1
10787849;T;DIPL;24_25     ;African;F;ISIZULU;Employed;DURBAN;KwaZulu-Natal;1
10468395;T;DEGR;26_28     ;African;M;TSHIVENDA;Unemployed;JOHANNESBURG;Gauteng;1
10133229;T;DEGR;26_28     ;African;M;ENGLISH;Employed;ROODEPOORT;Gauteng;1
11683152;T;DEGR;22_23     ;African;F;NORTHERN SOTHO;Employed;SOSHANGUWE;Gauteng;1
11466601;T;KWAL;35_40     ;African;M;ENGLISH;Employed;PRETORIA;Gauteng;1
10475440;T;DEGR;26_28     ;African;F;TSHIVENDA;Employed;PRETORIA;Gauteng;1
11472353;T;DEGR;24_25     ;African;M;ENGLISH;Unemployed;BELLVILLE;Western Cape;1
10135434;T;SENR;29_34     ;African;M;ISIZULU;Employed;JOHANNESBURG;Gauteng;1
11474054;T;DEGR;26_28     ;African;M;SESOTHO;Unemployed;WESTONARIA;Gauteng;1
11474782;F;DEGR;29_34     ;White;M;AFRIKAANS;Employed;HIGHVELD RIDGE;North Eastern;1
11477657;T;KWAL;26_28     ;African;M;SESOTHO;Employed;JOHANNESBURG;Gauteng;1
11684628;T;DEGR;24_25     ;African;M;ISIXHOSA;Unemployed;PORT ELIZABETH;Eastern Cape;1
11686345;T;DEGR;26_28     ;African;F;NORTHERN SOTHO;Employed;PRETORIA;Gauteng;1
12246400;T;MATR;35_40     ;African;M;SESOTHO;Employed;LADYBRAND;Midlands;1
11480194;F;MATR;35_40     ;White;M;ENGLISH;Employed;BOKSBURG;Gauteng;1
11480275;F;DEGR;20_21     ;White;F;ENGLISH;Unemployed;BELLVILLE;Western Cape;1
12250292;F;DIPL;26_28     ;African;F;ISINDEBELE;Unemployed;MDUTJANA;North Eastern;1
10482951;F;DEGR;22_23     ;African;M;NORTHERN SOTHO;Employed;BOKSBURG;Gauteng;1
10483591;T;DEGR;29_34     ;African;M;SISWATI;Employed;WONDERBOOM;Gauteng;1
12251671;F;DIPL;20_21     ;African;M;NORTHERN SOTHO;Unemployed;ALBERTON;Gauteng;1
12252578;T;DEGR;24_25     ;African;M;ISIXHOSA;Unemployed;WESTONARIA;Gauteng;1
11099140;F;DEGR;22_23     ;African;M;ISIXHOSA;Unemployed;BLOEMFONTEIN;Midlands;1
11099156;T;DEGR;24_25     ;African;M;SISWATI;Employed;NSIKAZI;North Eastern;1
11099703;F;DIPL;22_23     ;African;F;NORTHERN SOTHO;Unemployed;PRETORIA;Gauteng;1
10797194;F;HCER;26_28     ;Coloured;F;NORTHERN SOTHO;Unemployed;BELA-BELA;North Eastern;1
12255186;F;DIPL;26_28     ;African;F;SETSWANA;Unemployed;TEMBA;Midlands;1
10485405;T;DEGR;26_28     ;African;F;SESOTHO;Employed;VANDERBIJLPARK;Gauteng;1
11690598;T;DEGR;29_34     ;African;F;ISIZULU;Employed;LOWER UMFOLOZI;KwaZulu-Natal;1
11692175;F;DEGR;20_21     ;African;M;ENGLISH;Unemployed;ERMELO;North Eastern;1
11693441;T;DEGR;22_23     ;African;M;ISIXHOSA;Unemployed;MITCHELLS PLAIN;Western Cape;1
11693522;T;DEGR;26_28     ;African;M;ISIZULU;Unemployed;UMLAZI;KwaZulu-Natal;1
12259704;F;DEGR;24_25     ;African;M;NORTHERN SOTHO;Employed;SEKGOSESE;North Eastern;1
10490889;F;DIPL;26_28     ;African;F;ISIZULU;Unemployed;DURBAN;KwaZulu-Natal;1
10491405;T;DEGR;26_28     ;African;M;NORTHERN SOTHO;Employed;KUILS RIVER;Western Cape;1
12261806;T;DEGR;24_25     ;African;M;ISINDEBELE;Employed;BRONKHORSTSPRUIT;Gauteng;1
12264444;F;DEGR;26_28     ;African;F;ISIZULU;Unemployed;ESTCOURT;KwaZulu-Natal;1
11118708;F;DIPL;20_21     ;African;F;ISIXHOSA;Employed;UMLAZI;KwaZulu-Natal;1
10803004;F;HCER;24_25     ;African;M;XITSONGA;Unemployed;JOHANNESBURG;Gauteng;1
12268110;F;DIPL;20_21     ;African;M;ENGLISH;Employed;PIETERSBURG;North Eastern;1
11698963;T;MATR;29_34     ;White;M;AFRIKAANS;Employed;ROODEPOORT;Gauteng;1
11699544;T;DEGR;24_25     ;White;M;ENGLISH;Unemployed;ROODEPOORT;Gauteng;1
11499855;T;DEGR;22_23     ;White;M;ENGLISH;Employed;STELLENBOSCH;Western Cape;1
12270584;F;DIPL;22_23     ;African;M;ISIZULU;Employed;GARANKUWA;Midlands;1
12272188;T;DEGR;24_25     ;African;F;ISIZULU;Employed;MTUNZINI;KwaZulu-Natal;1
10503549;T;DEGR;20_21     ;African;M;ISIZULU;Unemployed;PRETORIA;Gauteng;1
11122557;F;DIPL;24_25     ;African;F;SETSWANA;Unemployed;RANDBURG;Gauteng;1
11124096;T;KWAL;24_25     ;African;F;ENGLISH;Student;JOHANNESBURG;Gauteng;1
11705905;T;DEGR;24_25     ;Coloured;M;AFR/ENG;Employed;STRAND;Western Cape;1
11706160;F;DEGR;24_25     ;African;M;ISIZULU;Employed;RANDBURG;Gauteng;1
10511223;T;DEGR;26_28     ;African;M;ISIZULU;Employed;BELFAST;North Eastern;1
