Matric_Aggregate_Group,FTEN,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
13,1,0,3,0,0,8,0,163,2,1
11,0,0,2,1,0,2,2,93,6,1
8,0,0,2,0,1,11,0,57,1,1
0,1,0,5,0,1,8,2,43,2,1
9,1,0,4,0,1,2,0,99,4,1
5,1,1,6,0,0,2,1,213,0,1
6,0,2,5,0,0,14,2,173,1,1
1,1,3,7,0,1,10,0,19,1,1
1,1,7,6,0,0,7,0,236,3,1
0,1,0,5,0,1,14,0,91,1,1
3,0,2,1,0,0,10,2,204,4,1
4,1,1,6,0,0,7,0,81,3,1
7,1,1,4,0,0,10,2,77,1,1
4,0,1,2,0,0,8,2,13,1,1
0,1,0,5,0,1,18,0,181,1,1
0,1,0,2,0,1,2,2,77,1,1
8,1,0,4,0,1,10,0,2,1,1
10,1,0,4,0,0,18,2,181,1,1
1,1,7,7,4,1,1,0,93,6,1
7,1,1,4,0,0,14,0,57,1,1
11,1,0,2,4,1,2,0,12,6,1
0,1,0,3,0,0,8,2,43,2,1
2,1,0,6,1,1,1,0,93,6,1
11,1,0,4,0,0,14,0,236,3,1
0,0,0,1,2,1,2,2,163,2,1
11,0,0,2,5,1,2,0,57,1,1
5,0,1,4,0,0,8,2,77,1,1
8,1,0,6,5,1,2,0,2,1,1
8,0,1,4,1,0,2,0,81,3,1
12,1,0,4,0,0,15,0,98,6,1
0,1,1,6,0,1,10,0,80,1,1
10,1,0,4,0,1,7,0,30,6,1
0,1,0,1,2,0,2,2,2,1,1
11,1,0,3,0,1,8,2,146,2,1
3,0,2,5,0,1,14,0,90,3,1
0,1,2,5,0,0,8,0,166,2,1
0,1,1,5,0,1,8,2,43,2,1
12,1,0,5,0,1,8,0,43,2,1
0,1,0,5,0,1,8,2,105,2,1
9,1,0,2,0,1,10,2,80,1,1
0,0,0,2,5,0,2,0,43,2,1
0,0,0,2,5,1,2,2,2,1,1
8,1,1,6,0,0,18,2,80,1,1
12,1,0,5,0,1,18,0,101,3,1
8,1,0,3,0,0,2,0,77,1,1
0,1,0,4,0,0,8,0,29,2,1
0,0,1,5,0,0,10,0,143,4,1
0,0,1,4,0,1,20,2,114,4,1
0,1,2,6,0,1,17,2,242,1,1
6,1,0,4,0,0,18,2,2,1,1
0,1,1,6,0,1,20,0,176,1,1
1,1,8,7,1,0,2,0,219,5,1
10,1,0,4,0,1,10,2,117,4,1
11,1,0,3,0,0,17,0,77,1,1
10,0,0,3,0,1,18,0,194,4,1
6,0,1,3,0,0,10,0,123,4,1
10,1,4,8,1,1,2,2,244,6,1
0,1,3,3,1,0,2,0,43,2,1
9,1,0,3,0,0,10,0,117,4,1
9,1,0,5,0,1,7,0,59,6,1
8,0,1,5,0,0,8,2,163,2,1
9,1,0,4,0,1,20,2,111,4,1
6,1,4,6,5,0,0,0,183,1,1
0,0,3,7,0,0,2,0,219,5,1
3,0,2,4,0,1,17,2,154,4,1
6,0,0,2,0,1,10,2,80,1,1
7,0,1,2,0,0,15,2,182,3,1
11,0,0,2,5,1,0,0,242,1,1
9,1,0,3,0,1,18,0,234,4,1
0,0,0,2,0,1,20,2,238,4,1
